external_urls/spotify;followers/href;followers/total;genres/0;href;id;images/0/height;images/0/url;images/0/width;images/1/height;images/1/url;images/1/width;images/2/height;images/2/url;images/2/width;name;popularity;type;uri;genres/1;genres/2;genres/3;genres/4;genres/5;images/0;images/3/height;images/3/url;images/3/width;genres/6;genres/7;genres/8;genres/9;genres/10
https://open.spotify.com/artist/4zfjcsrDgA1BlL8QxzKwl9;;5076;hoerspiel;https://api.spotify.com/v1/artists/4zfjcsrDgA1BlL8QxzKwl9;4zfjcsrDgA1BlL8QxzKwl9;640;https://i.scdn.co/image/ab67616d0000b27356c1fa146029f2e8d92f39da;640;300;https://i.scdn.co/image/ab67616d00001e0256c1fa146029f2e8d92f39da;300;64;https://i.scdn.co/image/ab67616d0000485156c1fa146029f2e8d92f39da;64;Sherlock Holmes Phantastik;34;artist;spotify:artist:4zfjcsrDgA1BlL8QxzKwl9;writing;;;;;;;;;;;;;
https://open.spotify.com/artist/5PHsYIMFyXJsaxa4HjGM4k;;120458;austropop;https://api.spotify.com/v1/artists/5PHsYIMFyXJsaxa4HjGM4k;5PHsYIMFyXJsaxa4HjGM4k;640;https://i.scdn.co/image/ab6761610000e5eb339f027cc0b36ac0762126f8;640;320;https://i.scdn.co/image/ab67616100005174339f027cc0b36ac0762126f8;320;160;https://i.scdn.co/image/ab6761610000f178339f027cc0b36ac0762126f8;160;EAV (Erste Allgemeine Verunsicherung);52;artist;spotify:artist:5PHsYIMFyXJsaxa4HjGM4k;german pop;german rock;kabarett;;;;;;;;;;;
https://open.spotify.com/artist/7n5U5suOGErg6S5Wu6n4IV;;79;;https://api.spotify.com/v1/artists/7n5U5suOGErg6S5Wu6n4IV;7n5U5suOGErg6S5Wu6n4IV;;;;;;;;;;A. Lee Martinez;13;artist;spotify:artist:7n5U5suOGErg6S5Wu6n4IV;;;;;;;;;;;;;;
https://open.spotify.com/artist/3t5X2CVDf5mrlIx1SdvWYM;;105354;folk metal;https://api.spotify.com/v1/artists/3t5X2CVDf5mrlIx1SdvWYM;3t5X2CVDf5mrlIx1SdvWYM;640;https://i.scdn.co/image/ab6761610000e5eb4c18088ac85a125039631ac1;640;320;https://i.scdn.co/image/ab676161000051744c18088ac85a125039631ac1;320;160;https://i.scdn.co/image/ab6761610000f1784c18088ac85a125039631ac1;160;Orden Ogan;52;artist;spotify:artist:3t5X2CVDf5mrlIx1SdvWYM;german metal;german power metal;melodic metal;neo classical metal;power metal;;;;;;;;;
https://open.spotify.com/artist/6yGJF6jxyfhp4evcVfN8ub;;29467;hoerspiel;https://api.spotify.com/v1/artists/6yGJF6jxyfhp4evcVfN8ub;6yGJF6jxyfhp4evcVfN8ub;640;https://i.scdn.co/image/ab67616d0000b273a51813903f00ec2c09522068;640;300;https://i.scdn.co/image/ab67616d00001e02a51813903f00ec2c09522068;300;64;https://i.scdn.co/image/ab67616d00004851a51813903f00ec2c09522068;64;Dan Brown;54;artist;spotify:artist:6yGJF6jxyfhp4evcVfN8ub;writing;;;;;;;;;;;;;
https://open.spotify.com/artist/5HFkc3t0HYETL4JeEbDB1v;;695895;german metal;https://api.spotify.com/v1/artists/5HFkc3t0HYETL4JeEbDB1v;5HFkc3t0HYETL4JeEbDB1v;640;https://i.scdn.co/image/ab6761610000e5eb7151e648daddf399cb45fe2d;640;320;https://i.scdn.co/image/ab676161000051747151e648daddf399cb45fe2d;320;160;https://i.scdn.co/image/ab6761610000f1787151e648daddf399cb45fe2d;160;Powerwolf;67;artist;spotify:artist:5HFkc3t0HYETL4JeEbDB1v;german power metal;metal;power metal;;;;;;;;;;;
https://open.spotify.com/artist/0WVSsPMPTWP08DtMjoIkuu;;5504;;https://api.spotify.com/v1/artists/0WVSsPMPTWP08DtMjoIkuu;0WVSsPMPTWP08DtMjoIkuu;640;https://i.scdn.co/image/ab67616d0000b27395fba86de1d079f25c03ff4a;640;300;https://i.scdn.co/image/ab67616d00001e0295fba86de1d079f25c03ff4a;300;64;https://i.scdn.co/image/ab67616d0000485195fba86de1d079f25c03ff4a;64;Wayne McLair;39;artist;spotify:artist:0WVSsPMPTWP08DtMjoIkuu;;;;;;;;;;;;;;
https://open.spotify.com/artist/0I5CMdNszqP3qJTmhGxlsA;;27057;hoerspiel;https://api.spotify.com/v1/artists/0I5CMdNszqP3qJTmhGxlsA;0I5CMdNszqP3qJTmhGxlsA;1000;https://i.scdn.co/image/0adb9b8f3b26342351207c0b55e673da265701de;1000;640;https://i.scdn.co/image/fcf03b1ebec47de9818b3b5c3ca3f9c83382e45f;640;200;https://i.scdn.co/image/02b6794d58a40ea6bfbc144aa64b5b35e13bfc43;200;Ken Follett;61;artist;spotify:artist:0I5CMdNszqP3qJTmhGxlsA;writing;;;;;;64;https://i.scdn.co/image/9f5209e3e1ed52f1f7fee86dcc0a72186b5bb1be;64;;;;;
https://open.spotify.com/artist/2yPVS2x96IoUdO7t68VUjH;;14079;jawaiian;https://api.spotify.com/v1/artists/2yPVS2x96IoUdO7t68VUjH;2yPVS2x96IoUdO7t68VUjH;640;https://i.scdn.co/image/ab6761610000e5ebcde3022729546bc11d948f68;640;320;https://i.scdn.co/image/ab67616100005174cde3022729546bc11d948f68;320;160;https://i.scdn.co/image/ab6761610000f178cde3022729546bc11d948f68;160;Arise Roots;42;artist;spotify:artist:2yPVS2x96IoUdO7t68VUjH;modern reggae;reggae rock;west coast reggae;;;;;;;;;;;
https://open.spotify.com/artist/3Jwp6aPt5cbnlEQmzXKVZm;;2391;hoerspiel;https://api.spotify.com/v1/artists/3Jwp6aPt5cbnlEQmzXKVZm;3Jwp6aPt5cbnlEQmzXKVZm;640;https://i.scdn.co/image/ab6761610000e5eb8712065376302523292383e4;640;320;https://i.scdn.co/image/ab676161000051748712065376302523292383e4;320;160;https://i.scdn.co/image/ab6761610000f1788712065376302523292383e4;160;Don Harris - Psycho Cop;28;artist;spotify:artist:3Jwp6aPt5cbnlEQmzXKVZm;;;;;;;;;;;;;;
